350,Nhân viên shop đóng thiếu cốc giữ nhiệt “ mặc dù “ khi xác nhận đơn hàng Khách đã nhấn mạnh đến việc đóng cốc giữ nhiệt. Mà đã thiếu hàng thì làm gì biết sản phẩm sử dụng như thế nào mà đòi Khách “đánh với chả giá “ hic.,1
351,"Sản phẩm tốt,dể sử dụng",3
352,giao sai sản phẩm,3
353,lấy màu đỏ mà giao màu xanh,2
354,chưa nhận dc hàng.,1
355,,2
356,,1
357,,1
358,,1
359,chẳng thấy hiệu quả jjj ý cơ kem phake,3
360,"đã nhận hàng nhưng ko vừa ý.sào bị móp méo ,đặt hàng gồm sào,móc,và liềm nhưng chỉ có sào ko.ko có móc và liềm như đặt.mình sẽ kiến nghị lazada đổi trả.shop bán hàng ko trung thực.",1
